Language,Code,source,# of units,path,hugging face
Berber,ber,tatoeba,353517,data/bilingual/ber/tatoeba.tsv,lecslab/biling_ber
Cherokee,chr,tatoeba,28,data/bilingual/chr/tatoeba.tsv,lecslab/biling_chr
Cherokee,chr,cherokeedictionary.net/,11395,data/bilingual/chr/dictionary.csv,
Cherokee,chr,hugging face,45,data/bilingual/chr/hugging_face.py,wang4067/cherokee-english-45
Hawaiian,haw,tatoeba,121,data/bilingual/haw/tatoeba.tsv,lecslab/biling_haw
Igbo,ibo,tatoeba,43,data/bilingual/ibo/tatoeba.tsv,lecslab/biling_ibo
Igbo,ibo,Open Subtitles,1706,opus,
Lakota,lkt,tatoeba,22,data/bilingual/lkt/tatoeba.tsv,lecslab/biling_lkt
Muskogee (Creek),mus,tatoeba,512,data/bilingual/mus/tatoeba.tsv,lecslab/biling_mus
Nepali,npi,tatoeba,3917,data/bilingual/npi/tatoeba.tsv,lecslab/biling_npi
Occitan,oci,tatoeba,4540,data/bilingual/oci/tatoeba.tsv,lecslab/biling_oci
Ojibwe,oji,tatoeba,116,data/bilingual/oji/tatoeba.tsv,lecslab/biling_oji
Quechua,que,tatoeba,279,data/bilingual/que/tatoeba.tsv,lecslab/biling_que
Quechua,que,NLLB,2874090,opus,
Tamazight,zgh,tatoeba,15760,data/bilingual/zgh/tatoeba.tsv,lecslab/biling_zgh
Chinese,zh,hugging face,1000000,,Helsinki-NLP/opus-100:en-zh:train
Amharic,amh,tatoeba,230,,lecslab/bilingal_amh
Amharic,amh,https://github.com/wubet/unified-amharic-english-corpus,195378,,
Yoruba,yor,UdS-LSV/menyo20k_mt,"10,070",,https://raw.githubusercontent.com/uds-lsv/menyo-20k_MT/master/data/train.tsv
Yoruba,yor,UdS-LSV/menyo20k_mt,"3,397",,https://raw.githubusercontent.com/uds-lsv/menyo-20k_MT/master/data/dev.tsv
Yoruba,yor,UdS-LSV/menyo20k_mt,"6,633",,https://raw.githubusercontent.com/uds-lsv/menyo-20k_MT/master/data/test.tsv
Guarani,grn,tatoeba,986,,lecslab/biling_grn
