Language,Code,source,# of units,original path,hugging face
Berber,ber,tatoeba,52834,data/monolingual/ber/tatoeba.tsv,lecslab/monoling_ber
Cherokee,chr,tatoeba,31,data/monolingual/chr/tatoeba.tsv,lecslab/monoling_chr
Cherokee,chr,hugging face,,,shiyue/chr_en:monolingual_raw:full
Cherokee,chr,hugging face,,,shiyue/chr_en:monolingual:chr
Hawaiian,haw,https://dohliam.github.io/corpus/haw/,91984,data/monolingual/haw/2grams_haw.txt,lecslab/monoling_haw
Hawaiian,haw,https://dohliam.github.io/corpus/haw/,5461,data/monolingual/haw/3grams_haw.txt,
Hawaiian,haw,https://dohliam.github.io/corpus/haw/,12612,data/monolingual/haw/4grams_haw.txt,
Hawaiian,haw,https://dohliam.github.io/corpus/haw/,96140,data/monolingual/haw/freqlist_haw.txt,
Hawaiian,haw,https://dohliam.github.io/corpus/haw/,99,data/monolingual/haw/stoplist_haw.txt,
Hawaiian,haw,tatoeba,160,data/monolingual/haw/tatoeba.tsv,
Igbo,ibo,https://wortschatz.uni-leipzig.de/en/download/ibo,7742,data/monolingual/ibo/ibo_community_2017-sentences.txt,lecslab/monoling_ibo
Igbo,ibo,https://wortschatz.uni-leipzig.de/en/download/ibo,14624,data/monolingual/ibo/ibo_community_2017-words.txt,
Igbo,ibo,https://wortschatz.uni-leipzig.de/en/download/ibo,10000,data/monolingual/ibo/ibo_wikipedia_2021_10K-sentences.txt,
Igbo,ibo,https://wortschatz.uni-leipzig.de/en/download/ibo,23685,data/monolingual/ibo/ibo_wikipedia_2021_10K-words.txt,
Igbo,ibo,tatoeba,46,data/monolingual/ibo/tatoeba.tsv,
Amharic,amh,https://huggingface.co/datasets/CohereLabs/aya_dataset,,,CohereLabs/aya_dataset
Yoruba,yor,https://huggingface.co/datasets/CohereLabs/aya_dataset,,,CohereLabs/aya_dataset
Nepali,npi,tatoeba,4504,data/monolingual/npi/tatoeba.tsv,lecslab/monoling_npi
Nepali,npi,hugging face,6391117,data/bilingualnpi/hugging_face.py,IRIIS-RESEARCH/Nepali-Text-Corpus
Occitan,oci,https://wortschatz-leipzig.de/en/download/oci#oci_community_2017,10000,data/monolingual/oci/oci-fr_web_2020_10K-sentences.txt,lecslab/monoling_oci
Occitan,oci,https://wortschatz-leipzig.de/en/download/oci#oci_community_2017,25982,data/monolingual/oci/oci-fr_web_2020_10K-words.txt,
Occitan,oci,https://wortschatz-leipzig.de/en/download/oci#oci_community_2017,1792,data/monolingual/oci/oci_community_2023-sentences.txt,
Occitan,oci,https://wortschatz-leipzig.de/en/download/oci#oci_community_2017,257903,data/monolingual/oci/oci_community_2023-words.txt,
Occitan,oci,https://wortschatz-leipzig.de/en/download/oci#oci_community_2017,99981,data/monolingual/oci/oci_wikipedia_2021_100K-sentences.txt,
Occitan,oci,https://wortschatz-leipzig.de/en/download/oci#oci_community_2017,161875,data/monolingual/oci/oci_wikipedia_2021_100K-words.txt,
Occitan,oci,tatoeba,24157,data/monolingual/oci/tatoeba.tsv,
Quechua,que,tatoeba,435,data/monolingual/que/tatoeba.tsv,lecslab/monoling_que
Quechua,que,hugging face,175408,data/monolingual/que/hugging_face.py,Llamacha/monolingual-quechua-iic
Maya,yua,tatoeba,33,data/monolingual/yua/tatoeba.tsv,lecslab/monoling_yua
Maya,yua,Americas NLP github,,,https://github.com/AmericasNLP/americasnlp2024/blob/master/ST2_EducationalMaterials/data/maya-train.tsv
Maya,yua,Americas NLP github,,,https://github.com/AmericasNLP/americasnlp2024/blob/master/ST2_EducationalMaterials/data/maya-dev.tsv
Maya,yua,Americas NLP github,,,https://github.com/AmericasNLP/americasnlp2024/blob/master/ST2_EducationalMaterials/data/maya-test.tsv
Tamazight,zgh,tatoeba,20665,data/monolingual/zgh/tatoeba.tsv,lecslab/monoling_zgh
Tamazight,zgh,hugging face,55,data/monolingual/zgh/hugging_face.py,Tamazight-NLP/IRCAM-CORPUS
Chinese,zh,hugging face,958000000,,opencsg/Fineweb-Edu-Chinese-V2.1
Guarani,grn,https://wortschatz-leipzig.de/en/download/grn#grn_wikipedia_2021,10000,,lecslab/monolingual_guarani
