language,bigram perplexity,trigram perplexity
Berber,9999999988.595282,10000000009.423952
Cherokee,10000000000.000105,10000000000.000008
Hawaiian,10000000046.925835,10000000013.209784
Igbo,9999999999.92352,9999999999.924013
Lakota,10000000000.000008,9999999999.999859
Muskogee (Creek),10000000000.012861,9999999999.99843
Nepali,9999999999.939034,9999999999.954302
Occitan,10000000007.21982,9999999985.913757
Ojibwe,9999999999.99912,9999999999.99981
Quechua,10000000007.770447,10000000005.759674
Maya,10000000000.0005,9999999999.99981
Tamazight,9999999999.923471,9999999999.923471
