language_code,language,kl,lk,kl_per_char,tvd_per_char,bits_per_char_target,bits_per_char_draft,n_examples,n_chars
amh,Amharic,0.8542432844146224,0.4403660390987869,1.1034132098135394,0.5716278899390352,2.560486062051217,3.9920939182013333,242,11543
ber,Berber,1.7867122440338135,0.5979690718650817,0.9909164442281084,0.3237594406211033,3.9811721657468557,5.10716566875162,4000,136057
chr,Cherokee,0.4418771606883364,0.275204117332349,0.958593218721098,0.6053655732682144,4.8151512362622855,5.386248087345346,2090,90689
grn,Guarani,2.46487904548645,0.6589007511138916,1.0741700801444214,0.2832929067437363,2.6651007784882004,4.094074120783482,2000,182331
haw,Hawaiian,1.1692840003967284,0.508862869977951,0.5346837160108541,0.22824419273729343,3.8754618516890793,4.2541559697613165,4000,36517
ibo,Igbo,1.3477842984199524,0.5127658542394639,0.6048151339284655,0.2297026830567407,2.11107614759473,2.8007560338106154,4000,329425
npi,Nepali,1.5409353413581848,0.5692316360473633,1.1171001988126295,0.4035796571420933,4.4129092878774,4.8198665387793715,4000,555225
oci,Occitan,1.0894133141040803,0.49899427795410156,0.4161782064052586,0.1840533626861791,3.1547317038016778,3.4613784120300037,4000,20223
que,Quechua,1.9120222969055176,0.6021006252765656,0.7779952298061825,0.2446827020932724,2.1963852789398906,3.139085991012946,4000,286551
yor,Yoruba,1.5345590235273263,0.5532116912264157,0.7650496160442178,0.2790512422269041,2.7348515541757434,3.5938911731045717,2351,135168
zgh,Tamazight,0.44162450778484347,0.3023624966144562,0.9094866678496134,0.6387523797184828,4.189134230300531,5.080349467414795,4000,89503
