language_code,language,family,fertility,mean_tokens,mean_chars,n_examples
amh,Amharic,qwen,1.355716075772094,152.0082644628099,112.12396694214875,242
ber,Berber,qwen,0.5381175975891793,19.196,35.6725,2000
chr,Cherokee,qwen,2.262732302454249,151.525,66.9655,2000
grn,Guarani,qwen,0.42678958200881456,39.6065,92.801,2000
haw,Hawaiian,qwen,0.472290270395193,5.109,10.8175,2000
ibo,Igbo,qwen,0.4587869964961613,41.442,90.3295,2000
npi,Nepali,qwen,0.698177873214354,794.4765,1137.9285,2000
oci,Occitan,qwen,0.3794107911287653,2.8655,7.5525,2000
que,Quechua,qwen,0.403717815221507,34.119,84.512,2000
yor,Yoruba,qwen,0.5252171710100869,39.3905,74.9985,2000
zgh,Tamazight,qwen,2.2980547499469477,81.219,35.3425,2000
amh,Amharic,llama,2.3133706788530994,259.38429752066116,112.12396694214875,242
ber,Berber,llama,0.5358889901184386,19.1165,35.6725,2000
chr,Cherokee,llama,2.2554225683374276,151.0355,66.9655,2000
grn,Guarani,llama,0.4452484348229006,41.3195,92.801,2000
haw,Hawaiian,llama,0.4924569956765707,5.3535,10.871,2000
ibo,Igbo,llama,0.45573360483389036,41.181,90.362,2000
npi,Nepali,llama,0.5559250866816324,632.603,1137.9285,2000
oci,Occitan,llama,0.3857247291818967,2.902,7.5235,2000
que,Quechua,llama,0.42120293853499685,32.595,77.3855,2000
yor,Yoruba,llama,0.5371840770148736,40.288,74.9985,2000
zgh,Tamazight,llama,2.2980123081276083,81.2175,35.3425,2000
